ing,ing_func,cir,ewg
Lysine,"['Antistatic Agent', 'Fragrance', 'Hair Conditioning', 'Skin Conditioning']",A,1.0
Betaine,"['Antistatic Agent', 'Hair Conditioning', 'Humectant', 'Skin Conditioning', 'Viscosity Controlling']",B,1.0
Serine,"['Antistatic Agent', 'Fragrance', 'Hair Conditioning', 'Masking', 'Skin Conditioning']",A,1.0
Sodium Cocoyl Glutamate,"['Cleansing', 'Surfactant']",B,1.0
Sodium Cocoyl Glycinate,"['Hair Conditioning', 'Skin Conditioning', 'Surfactant']",B,1.0
Alanine,"['Antistatic Agent', 'Fragrance', 'Hair Conditioning', 'Masking', 'Skin Conditioning']",A,1.0
Threonine,"['Antistatic Agent', 'Fragrance', 'Hair Conditioning', 'Hair Waving Or Straightening', 'Skin Conditioning']",A,1.0
Proline,"['Fragrance', 'Hair Conditioning', 'Skin Conditioning']",A,1.0
PEG-150,"['Binding Agent', 'Humectant', 'Solvent']",A,3.0
PEG-32,"['Binding Agent', 'Humectant', 'Solvent']",A,3.0
Portulaca Oleracea Extract,['Skin Conditioning'],nan,1.0
Centella Asiatica Extract,"['Cleansing', 'Skin Conditioning', 'Smoothing', 'Soothing', 'Tonic']",B,1.0
Pelargonium Graveolens Flower Oil,['Masking'],nan,1.0
Polyglyceryl-10 Myristate,"['Emulsifying', 'Skin Conditioning', 'Surfactant']",nan,1.0
Citrus Aurantium Bergamia (Bergamot) Fruit Oil,"['Fragrance', 'Masking']",nan,2.0
Cananga Odorata Flower Oil,"['Masking', 'Perfuming']",nan,3.0
Hamamelis Virginiana (Witch Hazel) Extract,"['Cosmetic Astringent', 'Hair Conditioning', 'Skin Conditioning', 'Soothing']",nan,1.0
Simethicone,"['Antifoaming Agent', 'Emollient', 'Hair Conditioning', 'Skin Conditioning']",nan,1.0
Ammonium Lauryl Sulfate,"['Cleansing', 'Foaming', 'Surfactant']",B,1.0
Ammonium Xylenesulfonate,"['Hydrotrope', 'Surfactant', 'Viscosity Controlling']",A,1.0
PPG-5-Ceteth-20,"['Emulsifying', 'Surfactant']",B,3.0
Sodium Borate,"['Buffering Agent', 'Ph Adjuster']",B,6.0
Arbutin,"['Antioxidant', 'Skin Conditioning']",nan,1.0
Methylpropanediol,['Solvent'],nan,1.0
Cornus Officinalis Fruit Extract,['Skin Conditioning'],nan,1.0
Chlorphenesin,"['Antimicrobial', 'Cosmetic Biocide', 'Preservative']",A,2.0
Zinc Oxide,"['Bulking Agent', 'Cosmetic Colorant', 'Skin Protecting', 'Sunscreen Agent']",nan,3.0
Lauroyl Lysine,"['Hair Conditioning', 'Skin Conditioning', 'Viscosity Controlling']",B,1.0
Madecassoside,"['Antioxidant', 'Skin Conditioning']",nan,1.0
Madecassic Acid,['Skin Conditioning'],nan,1.0
Cetearyl Olivate,['Hair Conditioning'],B,1.0
Cetyl Ethylhexanoate,"['Emollient', 'Skin Conditioning']",B,1.0
Sodium Polyacryloyldimethyl Taurate,"['Emulsion Stabilising', 'Viscosity Controlling', 'Viscosity Increasing Agent']",nan,1.0
Sorbitan Olivate,"['Emulsifying', 'Surfactant']",A,1.0
Asiaticoside,"['Antioxidant', 'Perfuming', 'Skin Conditioning']",nan,1.0
Asiatic Acid,"['Skin Conditioning', 'Stabilising']",nan,1.0
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,"['Emulsion Stabilising', 'Film Forming', 'Viscosity Controlling']",nan,1.0
Polyglyceryl-3 Methylglucose Distearate,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Surfactant']",nan,1.0
Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,"['Emulsion Stabilising', 'Viscosity Controlling']",nan,1.0
Silica,"['Abrasive', 'Absorbent', 'Anticaking Agent', 'Bulking Agent', 'Opacifying', 'Viscosity Controlling']",A,2.0
PPG-20 Methyl Glucose Ether,"['Hair Conditioning', 'Skin Conditioning']",A,1.0
Hordeum Distichon (Barley) Extract,['Skin Protecting'],nan,1.0
Blue 1,[''],nan,1.0
Manganese Chloride,"['Proprietary', 'Skin Conditioning']",nan,2.0
PCA,"['Humectant', 'Moisturising']",B,3.0
Benzyl Salicylate,"['Fragrance', 'Masking', 'Uv Absorber']",nan,7.0
Distearyldimonium Chloride,"['Antistatic Agent', 'Hair Conditioning']",nan,3.0
Benzyl Alcohol,"['External Analgesic', 'Fragrance', 'Masking', 'Preservative', 'Solvent', 'Viscosity Decreasing Agent']",A,5.0
Glyceryl Caprylate,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Surfactant']",A,1.0
Disodium Cocoyl Glutamate,"['Cleansing', 'Surfactant']",B,1.0
Lauryl Glucoside,"['Cleansing', 'Surfactant']",B,1.0
Camellia Sinensis Leaf Extract,"['Antimicrobial', 'Antioxidant', 'Astringent', 'Emollient', 'Humectant', 'Masking', 'Skin Conditioning', 'Skin Protecting', 'Tonic', 'Uv Absorber']",B,1.0
Menthyl Lactate,"['Flavoring Agent', 'Fragrance', 'Masking', 'Refreshing']",nan,1.0
SD Alcohol 40,"['Cosmetic Astringent', 'Solvent', 'Viscosity Decreasing Agent']",nan,5.0
Aloe Barbadensis (Aloe Vera) Juice,[''],nan,3.0
